priority,tier,session,signal,q,body,source,topics,title,url,path
43,1,v2-overnight,8,0.86,8000,www.pentagram.com,Typography & Type|Web & UI,https://www.pentagram.com/build/main/assets/index-Ba6h7bZK.css,https://www.pentagram.com/build/main/assets/index-Ba6h7bZK.css,
44,1,v2-overnight,8,0.95,7999,eyeondesign.aiga.org,Minimalism|Branding & Identity,"Tech Minimalism is Out. Welcome to the Squishy, Microbial World of the Biobrand &#8211; Ey",https://eyeondesign.aiga.org/tech-minimalism-is-out-welcome-to-the-squishy-microbial-world-of-the-biobrand/,
45,1,v2-overnight,8,0.94,7999,eyeondesign.aiga.org,AI & Design|Editorial & Print,Cruelty-Free? Don’t Believe All the Cute Bunny Labels &#8211; Eye on Design,https://eyeondesign.aiga.org/cruelty-free-dont-believe-all-the-cute-bunny-labels/,
46,1,v2-overnight,8,0.94,7999,eyeondesign.aiga.org,Editorial & Print|Photography,"In the Late ’70s in the Bronx, PHASE 2’s Party Flyers Created a Visual Language for Hip-Ho",https://eyeondesign.aiga.org/in-the-late-70s-in-the-bronx-phase-2s-party-flyers-created-a-visual-language-for-hip-hop/,
47,1,v2-overnight,8,1.00,7999,typographica.org,Typography & Type|Layout & Grid,Our Favorite Typefaces&nbsp;of&nbsp;2004 &#8211; Typographica,https://typographica.org/on-typography/our-favorite-typefaces-of-2004/,
48,1,v2-overnight,8,1.00,7999,webdesignerdepot.com,Web & UI|Layout & Grid,Not Useless: Why Experimental Websites Matter More Than You Think,https://webdesignerdepot.com/not-useless-why-experimental-websites-matter-more-than-you-think/,
49,1,v2-overnight,8,1.00,7858,webdesignerdepot.com,Web & UI|Color & Palette,10 New Year’s Resolutions Every Web Designer Will Definitely Break,https://webdesignerdepot.com/10-new-years-resolutions-every-web-designer-will-definitely-break/,
50,1,v2-overnight,8,1.00,7477,www.itsnicethat.com,Branding & Identity|AI & Design,Samar Maakaroun’s visual identity for The Mosaic Rooms challenges reductive narratives aro,https://www.itsnicethat.com/articles/samar-maakaroun-the-mosaic-rooms-identity-graphic-design-project-060526,
51,1,v2-overnight,8,0.91,6983,webdesignerdepot.com,Web & UI|Editorial & Print,Web Design Blog | Web Designer Depot,http://webdesignerdepot.com/,
52,1,v2-overnight,8,0.91,6752,www.itsnicethat.com,Photography|AI & Design,Stacy Kranitz intimately photographs the victims of the juvenile justice system in Rutherf,https://www.itsnicethat.com/articles/stacy-kranitz-rutherford-county-photography-191121,
53,1,v2-overnight,8,0.96,6117,typographica.org,Typography & Type|AI & Design,ABC Laica &#8211; Typographica,https://typographica.org/typeface-reviews/laica/,
54,1,v2-overnight,8,1.00,6071,www.pentagram.com,Branding & Identity|Editorial & Print,Work — Browse by type of client,https://www.pentagram.com/work?page=2,
55,1,v2-overnight,8,0.92,6061,www.pentagram.com,Branding & Identity|AI & Design,Events,https://www.pentagram.com/news/category/events,
56,1,v2-overnight,8,0.90,5861,typographica.org,Typography & Type|Editorial & Print,FUSE 1–20 &#8211; Typographica,https://typographica.org/typography-books/fuse-1-20/,
57,1,v2-overnight,8,0.97,5722,webdesignerdepot.com,Web & UI|Typography & Type,Why Every Web Designer Secretly Hates Their Past Work,https://webdesignerdepot.com/why-every-web-designer-secretly-hates-their-past-work/,
58,1,v2-overnight,8,0.79,5705,eyeondesign.aiga.org,Typography & Type|Movement & History,Poster Picks &#8211; Eye on Design,https://eyeondesign.aiga.org/category/design-series/poster-picks/,
59,1,v2-overnight,8,1.00,5319,www.pentagram.com,Web & UI|Typography & Type,Commentary,https://www.pentagram.com/news/category/commentary,
60,1,v2-overnight,8,0.87,5138,www.pentagram.com,Process & Studio|Color & Palette,IEEE Honors Ceremony 2026,https://www.pentagram.com/work/ieee-honors-ceremony-2026,
61,1,v2-overnight,8,0.86,5085,eyeondesign.aiga.org,Typography & Type|Color & Palette,Design + Art &#8211; Eye on Design,https://eyeondesign.aiga.org/category/design-plus/art/,
62,1,v2-overnight,8,0.90,5043,www.pentagram.com,Branding & Identity|Process & Studio,Bait,https://www.pentagram.com/work/bait,
63,1,v1-PROMPT-EXPLORE,7,0.90,198488,glyphsapp.com,Typography & Type,Glyphs Tutorials,https://glyphsapp.com/learn/feed,
64,1,v1-PROMPT-EXPLORE,7,0.89,52268,emigre.com,Color & Palette|Editorial & Print,Emigre: Past Projects,https://www.emigre.com/PastProjects,
65,1,v1-PROMPT-EXPLORE,7,0.91,33435,smashingmagazine.com,Typography & Type|Color & Palette,When Words Cannot Describe: Designing For AI Beyond Conversational Interfaces,https://www.smashingmagazine.com/2024/02/designing-ai-beyond-conversational-interfaces,
66,1,v1-PROMPT-EXPLORE,7,0.92,29728,smashingmagazine.com,Typography & Type|Color & Palette,The Complex But Awesome CSS border-image Property,https://www.smashingmagazine.com/2024/01/css-border-image-property,
67,1,v1-PROMPT-EXPLORE,7,0.91,27053,smashingmagazine.com,Typography & Type|Color & Palette,Mastering Typography In Logo Design,https://www.smashingmagazine.com/2024/08/mastering-typography-in-logo-design,
68,1,v1-PROMPT-EXPLORE,7,0.91,21528,smashingmagazine.com,Typography & Type|Color & Palette,Human-Centered Design Through AI-Assisted Usability Testing: Reality Or Fiction?,https://www.smashingmagazine.com/2025/02/human-centered-design-ai-assisted-usability-testing,
69,1,v1-PROMPT-EXPLORE,7,0.92,20312,smashingmagazine.com,Typography & Type|Color & Palette,Iconography In Design Systems: Easy Troubleshooting And Maintenance,https://www.smashingmagazine.com/2024/04/iconography-design-systems-troubleshooting-maintenance,
70,1,v1-PROMPT-EXPLORE,7,0.89,13518,emigre.com,Color & Palette,Emigre: License - Game,https://www.emigre.com/License/Game,
71,1,v1-PROMPT-EXPLORE,7,0.90,12560,smashingmagazine.com,Typography & Type|Color & Palette,Creating The “Moving Highlight” Navigation Bar With JavaScript And CSS,https://www.smashingmagazine.com/2025/06/creating-moving-highlight-navigation-bar-javascript-css,
72,1,v1-PROMPT-EXPLORE,7,0.91,9345,glyphsapp.com,Typography & Type|Color & Palette,Creating a Microsoft color font (CPAL/COLR),https://glyphsapp.com/learn/creating-a-microsoft-color-font,
73,1,v1-PROMPT-EXPLORE,7,0.89,8891,emigre.com,Typography & Type|Color & Palette,Emigre: Democratica Font Family,https://www.emigre.com/Fonts/Democratica,
74,1,v1-PROMPT-EXPLORE,7,0.89,8783,emigre.com,Typography & Type|Color & Palette,Emigre: Oblong Font Family,https://www.emigre.com/Fonts/Oblong,
75,1,v1-PROMPT-EXPLORE,7,0.92,8416,archdaily.com,Typography & Type|Color & Palette,AD Classics: Montreal Biosphere / Buckminster Fuller,http://www.archdaily.com/572135/ad-classics-montreal-biosphere-buckminster-fuller,
76,1,v2-overnight,7,0.91,8000,typographica.org,Typography & Type|Color & Palette,Typographica,https://typographica.org/,
77,1,v2-overnight,7,0.94,8000,eyeondesign.aiga.org,Typography & Type|AI & Design,Do Gender-Neutral Pronouns Need Their Own Glyphs? &#8211; Eye on Design,https://eyeondesign.aiga.org/do-gender-neutral-pronouns-need-their-own-glyphs/,
78,1,v2-overnight,7,0.94,8000,eyeondesign.aiga.org,Editorial & Print|AI & Design,"The Y2K Aesthetic is Fully Back, but Can It Stick Around? &#8211; Eye on Design",https://eyeondesign.aiga.org/the-y2k-aesthetic-is-fully-back-but-can-it-stick-around/,
79,1,v2-overnight,7,0.95,8000,eyeondesign.aiga.org,Color & Palette|AI & Design,The Liberatory Potential of Teaching Design from a Body in Pain &#8211; Eye on Design,https://eyeondesign.aiga.org/the-liberatory-potential-of-teaching-design-from-a-body-in-pain/,
80,1,v2-overnight,7,0.92,8000,eyeondesign.aiga.org,Editorial & Print|AI & Design,“Exploring Unfamiliar Histories of Visual Culture” — Four Corners Books Shares Its Favorit,https://eyeondesign.aiga.org/exploring-unfamiliar-histories-of-visual-culture-four-corners-books-shares-its-favorite-publications/,
81,1,v2-overnight,7,0.95,8000,eyeondesign.aiga.org,Music & Album|Editorial & Print,The Collaborative Spirit Behind Brian Eno’s Record Sleeve Designs &#8211; Eye on Design,https://eyeondesign.aiga.org/the-collaborative-spirit-behind-brian-enos-record-sleeve-designs/,
82,1,v2-overnight,7,0.95,8000,eyeondesign.aiga.org,Editorial & Print|Typography & Type,Five Beautiful Book Covers and the Stories Behind Them &#8211; Eye on Design,https://eyeondesign.aiga.org/five-beautiful-book-covers-and-the-stories-behind-them/,
83,1,v2-overnight,7,0.85,8000,eyeondesign.aiga.org,Typography & Type|AI & Design,"In CAPS LOCK, Ruben Pater Untangles the Relationship Between Graphic Design and Capitalism",https://eyeondesign.aiga.org/in-caps-lock-ruben-pater-untangles-the-relationship-between-graphic-design-and-capitalism/,
84,1,v2-overnight,7,0.96,8000,eyeondesign.aiga.org,AI & Design|Editorial & Print,"What Would a Feminist Alexa Look, or Rather Sound, Like? &#8211; Eye on Design",https://eyeondesign.aiga.org/what-would-a-feminist-alexa-look-or-rather-sound-like/,
85,1,v2-overnight,7,0.95,8000,eyeondesign.aiga.org,Process & Studio|AI & Design,Every Design Studio Should Be a Worker-Owned Studio &#8211; Eye on Design,https://eyeondesign.aiga.org/every-design-studio-should-be-a-worker-owned-studio/,
86,1,v2-overnight,7,0.95,8000,eyeondesign.aiga.org,AI & Design|Editorial & Print,The Evolving Legacy of Ken Garland’s First Things First Manifesto &#8211; Eye on Design,https://eyeondesign.aiga.org/why-ken-garlands-first-things-first-manifesto-keeps-getting-updated/,
87,1,v2-overnight,7,0.93,8000,eyeondesign.aiga.org,Typography & Type|AI & Design,A Font Inspired by Egyptian Streets That Addresses a Problem for Arabic Designers &#8211; ,https://eyeondesign.aiga.org/a-font-inspired-by-egyptian-streets-that-addresses-a-big-problem-for-arabic-designers/,
88,1,v2-overnight,7,0.95,8000,eyeondesign.aiga.org,Branding & Identity|AI & Design,A Design Studio “Rebranded” Carp. But Can a Fish Be a Brand? &#8211; Eye on Design,https://eyeondesign.aiga.org/a-design-studio-has-rebranded-carp-but-can-a-fish-be-a-brand/,
89,1,v2-overnight,7,0.97,8000,eyeondesign.aiga.org,Photography|AI & Design,Steven Heller Gets Personal in His New Autobiography Growing Up Underground &#8211; Eye on,https://eyeondesign.aiga.org/why-i-write-steven-heller-remembers-growing-up-underground/,
90,1,v2-overnight,7,0.93,8000,eyeondesign.aiga.org,Web & UI|AI & Design,Multimedia Artist Jaime Levy Was at the Forefront of Web Design Before Websites Even Exist,https://eyeondesign.aiga.org/multimedia-artist-jaime-levy-was-at-the-forefront-of-web-design-before-websites-even-existed/,
91,1,v2-overnight,7,0.95,8000,eyeondesign.aiga.org,AI & Design|Editorial & Print,“Design For and From Communities”—Bahia Shehab on A History of Arab Graphic Design &#8211;,https://eyeondesign.aiga.org/design-for-and-from-communities-bahia-shehab-on-a-history-of-arab-graphic-design/,
92,1,v2-overnight,7,0.94,8000,eyeondesign.aiga.org,Editorial & Print|AI & Design,How a Lifestyle Magazine Became a Form of Everyday Resistance in Post-Stalinist Poland &#8,https://eyeondesign.aiga.org/tyija/,
93,1,v2-overnight,7,0.96,8000,eyeondesign.aiga.org,Editorial & Print|AI & Design,The Cost of Free Love and the Designers Who Bore It—Meet the Women of Psychedelic Design &,https://eyeondesign.aiga.org/women-of-psychedelic-design/,
94,1,v2-overnight,7,0.95,8000,eyeondesign.aiga.org,AI & Design|Editorial & Print,"How the Maharaja Mascot Became Air-India’s Adventurous, Yet Controversial, Design Star &#8",https://eyeondesign.aiga.org/how-the-maharaja-mascot-became-air-indias-adventurous-yet-contentious-star/,
95,1,v2-overnight,7,0.96,8000,eyeondesign.aiga.org,Editorial & Print|AI & Design,Are Membership Models the Future of Independent Media? &#8211; Eye on Design,https://eyeondesign.aiga.org/are-membership-models-the-future-of-independent-media/,
96,1,v2-overnight,7,0.95,8000,eyeondesign.aiga.org,Editorial & Print|AI & Design,When the Struggle is Part of the Process &#8211; Eye on Design,https://eyeondesign.aiga.org/when-the-struggle-is-part-of-the-process/,
97,1,v2-overnight,7,0.83,8000,eyeondesign.aiga.org,Editorial & Print|Typography & Type,MIT Media Lab Just Taught Us the Latest Design Terms &#8211; Eye on Design,https://eyeondesign.aiga.org/mit-media-lab-just-taught-us-the-2-latest-design-terms/,
98,1,v2-overnight,7,0.84,8000,eyeondesign.aiga.org,Typography & Type|Color & Palette,Here’s a Thought: What if Letterforms Had More Serifs? &#8211; Eye on Design,https://eyeondesign.aiga.org/heres-a-thought-what-if-there-arent-enough-serifs/,
99,1,v2-overnight,7,0.85,8000,eyeondesign.aiga.org,Editorial & Print|Typography & Type,"In the ’70s, Kamal Shedge’s Lettering Became an Indispensable Part of Life and Culture in ",https://eyeondesign.aiga.org/in-the-70s-kamal-shedges-lettering-became-an-indispensable-part-of-life-and-culture-in-india/,
100,1,v2-overnight,7,0.86,8000,eyeondesign.aiga.org,Typography & Type|AI & Design,"Is It Art, or Is It Type? What We Learn When Language is Built, Not Written &#8211; Eye on",https://eyeondesign.aiga.org/is-it-art-or-is-it-type-what-we-learn-when-language-is-built-not-written/,
101,1,v2-overnight,7,0.83,8000,eyeondesign.aiga.org,Typography & Type|Editorial & Print,Timezone Is a Workhorse of a Font Inspired by the Heyday of Digital Type Design &#8211; Ey,https://eyeondesign.aiga.org/timezone-is-a-workhorse-of-a-font-inspired-by-the-heyday-of-digital-type-design/,
102,1,v2-overnight,7,0.81,8000,www.itsnicethat.com,Branding & Identity|AI & Design,It’s Nice That’s Ones to Watch 2025,https://www.itsnicethat.com/ones-to-watch-2025-showcase,
103,1,v2-overnight,7,1.00,8000,webdesignerdepot.com,Web & UI|AI & Design,UX Hierarchy: How Users Actually Scan Pages in 2026,https://webdesignerdepot.com/ux-hierarchy-how-users-actually-scan-pages-in-2026/,
104,1,v2-overnight,7,0.98,8000,webdesignerdepot.com,AI & Design|Web & UI,The Great Replatforming: WordPress Is Training Its Own Replacement,https://webdesignerdepot.com/the-great-replatforming-wordpress-in-the-era-of-ai/,
105,1,v2-overnight,7,1.00,8000,webdesignerdepot.com,Web & UI|AI & Design,The Evolution of the &quot;Buy&quot; Button: 1995–2026,https://webdesignerdepot.com/the-evolution-of-the-buy-button-1995-2026/,
106,1,v2-overnight,7,1.00,8000,webdesignerdepot.com,Web & UI|AI & Design,20 Useless Websites to Waste Your Time,https://webdesignerdepot.com/20-useless-websites-to-waste-your-time/,
107,1,v2-overnight,7,0.99,8000,webdesignerdepot.com,Web & UI|Process & Studio,7 Best Design Tools &amp; Resources for Faster Web Builds in 2026,https://webdesignerdepot.com/web-design-tools-and-resources-faster-builds-2026/,
108,1,v2-overnight,7,1.00,8000,webdesignerdepot.com,Web & UI|AI & Design,How Junior Web Designers Use Google Maps to Generate Cash,https://webdesignerdepot.com/how-junior-web-designers-use-google-maps-to-generate-cash/,
109,1,v2-overnight,7,1.00,8000,webdesignerdepot.com,Web & UI|AI & Design,The End of Static Design: Living in the Era of Liquid UI,https://webdesignerdepot.com/the-end-of-static-design-living-in-the-era-of-liquid-ui/,
110,1,v2-overnight,7,1.00,8000,webdesignerdepot.com,Web & UI|Color & Palette,The UX Case Study of a Refrigerator,https://webdesignerdepot.com/the-ux-case-study-of-a-refrigerator/,
111,1,v2-overnight,7,1.00,8000,webdesignerdepot.com,Web & UI|AI & Design,Stop Designing for Delighted Users (and Start Designing for Cognitive Strain),https://webdesignerdepot.com/stop-designing-for-delighted-users-and-start-designing-for-cognitive-strain/,
112,1,v2-overnight,7,1.00,8000,webdesignerdepot.com,Web & UI|Branding & Identity,The Death of the Front Door: Why the &quot;Home Page&quot; is a Legacy Pattern,https://webdesignerdepot.com/the-death-of-the-front-door-why-the-home-page-is-a-legacy-pattern/,
113,1,v2-overnight,7,1.00,8000,webdesignerdepot.com,Layout & Grid|Web & UI,"How Aspect Ratios Define Perception, Rhythm, and Flow",https://webdesignerdepot.com/how-aspect-ratios-define-perception-rhythm-and-flow/,
114,1,v2-overnight,7,1.00,8000,webdesignerdepot.com,Web & UI|AI & Design,7 Practical Ways AI is Rewriting the UI Design Playbook (and 3 Ways it’s Not),https://webdesignerdepot.com/7-practical-ways-ai-is-rewriting-the-ui-design-playbook-and-3-ways-its-not/,
115,1,v2-overnight,7,0.95,8000,webdesignerdepot.com,AI & Design|Web & UI,Sitemap | Web Designer Depot,http://webdesignerdepot.com/sitemap/,
116,1,v2-overnight,7,1.00,8000,webdesignerdepot.com,Web & UI|Process & Studio,"Exciting New Tools for Designers, January 2026",https://webdesignerdepot.com/exciting-new-tools-for-designers-january-2026/,
117,1,v2-overnight,7,1.00,8000,webdesignerdepot.com,Web & UI|Typography & Type,The 7 Stages of Pushing Pixels: From Hope to Existential Dread,https://webdesignerdepot.com/the-7-stages-of-pushing-pixels-from-hope-to-existential-dread/,
118,1,v2-overnight,7,1.00,8000,webdesignerdepot.com,Web & UI|Process & Studio,"40 Best New Websites, 2024",https://webdesignerdepot.com/40-best-new-websites-2024/,
119,1,v2-overnight,7,0.81,8000,typographica.org,Typography & Type|Editorial & Print,Typographica,https://typographica.org/feed/,
120,1,v2-overnight,7,0.87,8000,webdesignerdepot.com,Web & UI|Typography & Type,https://webdesignerdepot.com/wp-json/,https://webdesignerdepot.com/wp-json/,
121,1,v2-overnight,7,1.00,8000,webdesignerdepot.com,Web & UI|Color & Palette,Why Ghost Buttons are the Ultimate Conversion Killer,https://webdesignerdepot.com/why-ghost-buttons-are-the-ultimate-conversion-killer/,
122,1,v2-overnight,7,0.96,7999,eyeondesign.aiga.org,Branding & Identity|AI & Design,How Heart-Shaped Frames Became a Symbol of Reclaimed Femininity and a Non-binary Fashion S,https://eyeondesign.aiga.org/how-heart-shaped-frames-became-a-symbol-of-reclaimed-femininity-and-a-non-binary-fashion-staple/,
123,1,v2-overnight,7,0.94,7999,eyeondesign.aiga.org,AI & Design|Editorial & Print,Why Did So Many Mid-Century Designers Make Children’s Books? &#8211; Eye on Design,https://eyeondesign.aiga.org/why-did-so-many-mid-century-designers-make-childrens-books/,
124,1,v2-overnight,7,1.00,7999,webdesignerdepot.com,AI & Design|Web & UI,12 Reasons Claude is Outperforming ChatGPT in My Daily Workflow,https://webdesignerdepot.com/12-reasons-claude-is-outperforming-chatgpt-in-my-daily-workflow/,
125,1,v2-overnight,7,1.00,7999,webdesignerdepot.com,Web & UI|Photography,10 Ways to Pretend You’re Not Just Copying Other Designers,https://webdesignerdepot.com/10-ways-to-pretend-youre-not-just-copying-other-designers/,
126,1,v2-overnight,7,0.89,7999,typographica.org,Typography & Type|AI & Design,Neebinnaukzhik (Neebin) Southall &#8211; Typographica,https://typographica.org/on-typography/interview/neebinnaukzhik-neebin-southall/,
127,1,v2-overnight,7,1.00,7893,webdesignerdepot.com,Web & UI|Color & Palette,How Designers Gaslight Users with Microcopy,https://webdesignerdepot.com/how-designers-gaslight-users-with-microcopy/,
